company,year,tokens
adtran holdings,2014,48315
adtran holdings,2015,47932
adtran holdings,2016,50195
adtran holdings,2017,52677
adtran holdings,2018,59853
adtran holdings,2019,53733
adtran holdings,2020,95665
adtran holdings,2021,102628
adtran holdings,2022,154349
adtran holdings,2023,137413
adtran networks,2015,108227
adtran networks,2016,94157
adtran networks,2017,105910
adtran networks,2018,106106
adtran networks,2019,107988
adtran networks,2020,110216
adtran networks,2021,122280
adtran networks,2022,125126
adtran networks,2023,87547
aixtron se,2020,91433
aixtron se,2021,94288
aixtron se,2022,90728
aixtron se,2023,91136
amadeus fire ag,2014,63636
amadeus fire ag,2015,65217
amadeus fire ag,2016,62360
amadeus fire ag,2017,65816
amadeus fire ag,2018,71748
amadeus fire ag,2019,91354
amadeus fire ag,2020,103858
amadeus fire ag,2021,107824
amadeus fire ag,2022,115563
amadeus fire ag,2023,113935
aroundtown sa,2014,33310
aroundtown sa,2015,40563
aroundtown sa,2016,56783
aroundtown sa,2017,73600
aroundtown sa,2018,93726
aroundtown sa,2019,99487
aroundtown sa,2020,109956
aroundtown sa,2021,120610
aroundtown sa,2022,125178
aroundtown sa,2023,172306
atoss software se,2015,62880
atoss software se,2016,65461
atoss software se,2017,65556
atoss software se,2018,71274
atoss software se,2019,76221
atoss software se,2020,83002
atoss software se,2021,103176
atoss software se,2022,119826
atoss software se,2023,121562
aurubis ag,2014,114219
aurubis ag,2015,126277
aurubis ag,2016,119706
aurubis ag,2017,134170
aurubis ag,2018,153022
aurubis ag,2019,157867
aurubis ag,2020,171881
aurubis ag,2021,180938
aurubis ag,2022,195147
aurubis ag,2023,214207
auto1 group se,2018,39097
auto1 group se,2019,28369
auto1 group se,2020,61837
auto1 group se,2021,66906
auto1 group se,2022,68519
auto1 group se,2023,74326
baywa ag,2014,86916
baywa ag,2015,89984
baywa ag,2016,95995
baywa ag,2017,107398
baywa ag,2018,103302
baywa ag,2019,98472
baywa ag,2020,109270
baywa ag,2021,113777
baywa ag,2022,121350
baywa ag,2023,125688
bechtle ag,2014,160832
bechtle ag,2015,149165
bechtle ag,2016,139501
bechtle ag,2017,141682
bechtle ag,2018,144204
bechtle ag,2019,146978
bechtle ag,2020,148608
bechtle ag,2021,166520
bechtle ag,2022,177219
bechtle ag,2023,176303
bilfinger,2014,132441
bilfinger,2015,135996
bilfinger,2016,172048
bilfinger,2017,184400
bilfinger,2018,193585
bilfinger,2019,210775
bilfinger,2020,230431
bilfinger,2021,236471
bilfinger,2022,262576
bilfinger,2023,199644
borussia dortmund gmbh & co kgaa,2014,94892
borussia dortmund gmbh & co kgaa,2015,102259
borussia dortmund gmbh & co kgaa,2016,102425
borussia dortmund gmbh & co kgaa,2017,115145
borussia dortmund gmbh & co kgaa,2018,118768
borussia dortmund gmbh & co kgaa,2019,129219
borussia dortmund gmbh & co kgaa,2020,133748
borussia dortmund gmbh & co kgaa,2021,135267
borussia dortmund gmbh & co kgaa,2022,154872
borussia dortmund gmbh & co kgaa,2023,124891
cancom,2014,107736
cancom,2015,105125
cancom,2016,115330
cancom,2017,130951
cancom,2018,143153
cancom,2019,176720
cancom,2020,162237
cancom,2021,164750
cancom,2022,168163
cancom,2023,179941
carl zeiss meditec ag,2014,86194
carl zeiss meditec ag,2015,91129
carl zeiss meditec ag,2016,95960
carl zeiss meditec ag,2017,93156
carl zeiss meditec ag,2018,95448
carl zeiss meditec ag,2019,95976
carl zeiss meditec ag,2020,72564
carl zeiss meditec ag,2021,97200
carl zeiss meditec ag,2022,73852
carl zeiss meditec ag,2023,71248
ceconomy,2014,263201
ceconomy,2015,250699
ceconomy,2016,255251
ceconomy,2017,242700
ceconomy,2018,237305
ceconomy,2019,244310
ceconomy,2020,169366
ceconomy,2021,184573
ceconomy,2022,193682
ceconomy,2023,194878
cewe,2014,155933
cewe,2015,158158
cewe,2016,154371
cewe,2017,147397
cewe,2018,151315
cewe,2019,142516
cewe,2020,142200
cewe,2021,149567
cewe,2022,160775
cewe,2023,162660
compugroup medical se & co kgaa,2014,143128
compugroup medical se & co kgaa,2015,148613
compugroup medical se & co kgaa,2016,154930
compugroup medical se & co kgaa,2017,149340
compugroup medical se & co kgaa,2018,161153
compugroup medical se & co kgaa,2019,156518
compugroup medical se & co kgaa,2020,139233
compugroup medical se & co kgaa,2021,134427
compugroup medical se & co kgaa,2022,133542
compugroup medical se & co kgaa,2023,133560
cts eventim ag & co kgaa,2014,106848
cts eventim ag & co kgaa,2015,110283
cts eventim ag & co kgaa,2016,118550
cts eventim ag & co kgaa,2017,114219
cts eventim ag & co kgaa,2018,116168
cts eventim ag & co kgaa,2019,124052
cts eventim ag & co kgaa,2020,145020
cts eventim ag & co kgaa,2021,143976
cts eventim ag & co kgaa,2022,136073
cts eventim ag & co kgaa,2023,130495
delivery hero,2016,86252
delivery hero,2017,129320
delivery hero,2018,123198
delivery hero,2019,122860
delivery hero,2020,158456
delivery hero,2021,186517
delivery hero,2022,197482
delivery hero,2023,202673
dermapharm holding se,2016,50686
dermapharm holding se,2017,82068
dermapharm holding se,2018,101888
dermapharm holding se,2019,108092
dermapharm holding se,2020,107451
dermapharm holding se,2021,119723
dermapharm holding se,2022,125580
dermapharm holding se,2023,169583
deutsche beteiligungs,2015,139317
deutsche beteiligungs,2016,134033
deutsche beteiligungs,2017,163803
deutsche beteiligungs,2018,146017
deutsche beteiligungs,2019,163139
deutsche beteiligungs,2020,126065
deutsche beteiligungs,2021,147912
deutsche beteiligungs,2022,134125
deutsche beteiligungs,2023,134034
deutsche lufthansa ag,2014,222092
deutsche lufthansa ag,2015,184411
deutsche lufthansa ag,2016,192090
deutsche lufthansa ag,2017,206608
deutsche lufthansa ag,2018,216108
deutsche lufthansa ag,2019,231409
deutsche lufthansa ag,2020,268549
deutsche lufthansa ag,2021,289568
deutsche lufthansa ag,2022,297369
deutsche lufthansa ag,2023,302994
deutsche pfandbriefbank ag,2014,126299
deutsche pfandbriefbank ag,2015,140960
deutsche pfandbriefbank ag,2016,155901
deutsche pfandbriefbank ag,2017,170967
deutsche pfandbriefbank ag,2018,183643
deutsche pfandbriefbank ag,2019,162565
deutsche pfandbriefbank ag,2020,168270
deutsche pfandbriefbank ag,2021,130986
deutsche pfandbriefbank ag,2022,134808
deutsche pfandbriefbank ag,2023,133833
deutsche wohnen se,2014,103219
deutsche wohnen se,2015,112142
deutsche wohnen se,2016,119898
deutsche wohnen se,2017,131933
deutsche wohnen se,2018,135189
deutsche wohnen se,2019,144995
deutsche wohnen se,2020,149118
deutsche wohnen se,2021,134491
deutsche wohnen se,2022,128636
deutsche wohnen se,2023,130050
deutz,2014,119180
deutz,2015,119725
deutz,2016,117857
deutz,2017,139587
deutz,2018,15359
deutz,2019,159756
deutz,2020,167677
deutz,2021,198521
deutz,2022,211094
deutz,2023,219545
draegerwerk,2014,140284
draegerwerk,2015,135061
draegerwerk,2016,135557
draegerwerk,2017,124508
draegerwerk,2018,128986
draegerwerk,2019,131876
draegerwerk,2020,133454
draegerwerk,2021,124761
draegerwerk,2022,131220
draegerwerk,2023,131843
dws group gmbh & co kgaa,2018,140470
dws group gmbh & co kgaa,2019,147839
dws group gmbh & co kgaa,2020,219572
dws group gmbh & co kgaa,2021,220900
dws group gmbh & co kgaa,2022,208962
dws group gmbh & co kgaa,2023,225174
eckert & ziegler se,2014,92328
eckert & ziegler se,2015,85117
eckert & ziegler se,2016,85466
eckert & ziegler se,2017,93359
eckert & ziegler se,2018,91862
eckert & ziegler se,2019,93647
eckert & ziegler se,2020,96206
eckert & ziegler se,2021,99687
eckert & ziegler se,2022,91696
eckert & ziegler se,2023,103814
elmos semiconductor,2014,89175
elmos semiconductor,2015,91035
elmos semiconductor,2016,84598
elmos semiconductor,2017,63194
elmos semiconductor,2018,62463
elmos semiconductor,2019,65728
elmos semiconductor,2020,69091
elmos semiconductor,2021,71668
elmos semiconductor,2022,77936
elmos semiconductor,2023,83219
energiekontor ag,2014,36203
energiekontor ag,2015,40407
energiekontor ag,2016,42905
energiekontor ag,2017,59904
energiekontor ag,2018,145595
energiekontor ag,2019,156438
energiekontor ag,2020,174359
energiekontor ag,2021,165474
energiekontor ag,2022,172120
energiekontor ag,2023,169431
evonik,2014,163954
evonik,2015,154056
evonik,2016,153999
evonik,2017,140056
evonik,2018,148981
evonik,2019,156013
evonik,2020,165394
evonik,2021,161975
evonik,2022,188926
evonik,2023,197934
evotec se,2014,122144
evotec se,2015,108994
evotec se,2016,110305
evotec se,2017,117722
evotec se,2018,129044
evotec se,2019,118631
evotec se,2020,131604
evotec se,2021,136380
evotec se,2022,141405
evotec se,2023,123344
fielmann,2014,82181
fielmann,2015,84713
fielmann,2016,85547
fielmann,2017,91019
fielmann,2018,101222
fielmann,2019,111532
fielmann,2020,115135
fielmann,2021,109054
fielmann,2022,99874
fielmann,2023,101775
flatexdegiro ag,2015,66896
flatexdegiro ag,2016,72403
flatexdegiro ag,2017,66672
flatexdegiro ag,2018,71838
flatexdegiro ag,2019,69669
flatexdegiro ag,2020,87811
flatexdegiro ag,2021,94452
flatexdegiro ag,2022,102760
flatexdegiro ag,2023,108903
fraport frankfurt airport services worldwide ag,2014,159810
fraport frankfurt airport services worldwide ag,2015,164243
fraport frankfurt airport services worldwide ag,2016,166197
fraport frankfurt airport services worldwide ag,2017,190463
fraport frankfurt airport services worldwide ag,2018,197652
fraport frankfurt airport services worldwide ag,2019,192710
fraport frankfurt airport services worldwide ag,2020,203307
fraport frankfurt airport services worldwide ag,2021,195890
fraport frankfurt airport services worldwide ag,2022,197724
fraport frankfurt airport services worldwide ag,2023,199509
freenet ag,2015,131763
freenet ag,2016,144460
freenet ag,2017,161603
freenet ag,2018,167209
freenet ag,2019,160332
freenet ag,2020,166120
freenet ag,2021,164371
freenet ag,2022,174885
freenet ag,2023,176966
fuchs se,2014,111553
fuchs se,2015,109589
fuchs se,2016,102244
fuchs se,2017,108763
fuchs se,2018,112478
fuchs se,2019,108738
fuchs se,2020,124882
fuchs se,2021,128251
fuchs se,2022,141981
fuchs se,2023,143067
gea group ag,2014,150310
gea group ag,2015,145682
gea group ag,2016,145112
gea group ag,2017,158920
gea group ag,2018,187721
gea group ag,2019,206299
gea group ag,2020,164877
gea group ag,2021,201320
gea group ag,2022,216015
gea group ag,2023,232320
gerresheimer ag,2014,112994
gerresheimer ag,2015,119559
gerresheimer ag,2016,126726
gerresheimer ag,2017,140396
gerresheimer ag,2018,155513
gerresheimer ag,2019,152188
gerresheimer ag,2020,135758
gerresheimer ag,2021,90162
gerresheimer ag,2022,99664
gerresheimer ag,2023,100716
gft technologies se,2014,92158
gft technologies se,2015,101079
gft technologies se,2016,94356
gft technologies se,2017,97958
gft technologies se,2018,110950
gft technologies se,2019,109827
gft technologies se,2020,107181
gft technologies se,2021,111122
gft technologies se,2022,114022
gft technologies se,2023,114872
grand city properties sa,2014,54581
grand city properties sa,2015,52591
grand city properties sa,2016,55513
grand city properties sa,2017,70701
grand city properties sa,2018,82574
